*,22\,27\,*,*,*,*,*,*,32\,7\,30\,*,*,*
\17,0,0,*,*,*,*,*,24\12,0,0,0,13\,*,*
\3,0,0,*,*,23\,16\,4\24,0,0,0,0,0,*,*
\16,0,0,19\,\44,0,0,0,0,0,0,0,0,17\,*
\15,0,0,0,16\24,0,0,0,0,0,15\24,0,0,0,*
\25,0,0,0,0,0,*,*,\4,0,0,22\9,0,0,*
*,\8,0,0,0,29\,*,*,\11,0,0,0,*,*,*
*,*,\11,0,0,0,*,*,\17,0,0,0,30\,*,*
*,3\,11\8,0,0,0,*,*,*,7\6,0,0,0,26\,*
\4,0,0,28\4,0,0,18\,16\,4\17,0,0,0,0,0,*
\7,0,0,0,10\30,0,0,0,0,0,\23,0,0,0,*
*,\42,0,0,0,0,0,0,0,0,*,\3,0,0,*
*,\18,0,0,0,0,0,*,*,*,*,\16,0,0,*
*,*,\10,0,0,0,*,*,*,*,*,\17,0,0,*
*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
